0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	1
9	1
10	1
11	1
12	2
13	2
14	2
15	2
16	3
17	3
18	3
19	4
20	4
21	4
22	5
23	5
24	6
25	6
26	6
27	6
28	8
29	8
30	9
31	9
32	9
33	11
34	11
35	11
36	13
37	13
38	13
39	15
40	15
41	15
42	17
43	17
44	19
45	19
46	19
47	21
48	21
49	21
50	24
51	24
52	26
53	26
54	28
55	28
56	28
57	31
58	31
59	33
60	33
61	35
62	35
63	37
64	37
65	39
66	39
67	42
68	42
69	44
70	44
71	46
72	48
73	48
74	50
75	52
76	52
77	54
78	54
79	56
80	56
81	59
82	61
83	61
84	63
85	65
86	65
87	67
88	69
89	69
90	71
91	73
92	75
93	75
94	77
95	79
96	79
97	81
98	83
99	85
100	85
101	88
102	88
103	90
104	92
105	94
106	94
107	96
108	98
109	98
110	101
111	103
112	105
113	105
114	107
115	109
116	111
117	111
118	113
119	115
120	117
121	119
122	119
123	122
124	122
125	125
126	125
127	128
128	130
129	131
130	133
131	133
132	136
133	137
134	139
135	141
136	142
137	144
138	145
139	147
140	147
141	150
142	151
143	153
144	155
145	156
146	158
147	158
148	161
149	162
150	164
151	165
152	166
153	168
154	170
155	170
156	173
157	173
158	175
159	177
160	178
161	180
162	180
163	183
164	184
165	184
166	187
167	188
168	189
169	191
170	192
171	194
172	195
173	195
174	198
175	198
176	200
177	200
178	203
179	203
180	205
181	206
182	208
183	209
184	210
185	210
186	212
187	213
188	215
189	216
190	217
191	218
192	219
193	220
194	221
195	222
196	223
197	224
198	225
199	226
200	227
201	228
202	229
203	230
204	231
205	232
206	233
207	234
208	235
209	235
210	236
211	237
212	238
213	239
214	239
215	240
216	241
217	242
218	242
219	243
220	244
221	244
222	245
223	246
224	246
225	247
226	247
227	248
228	248
229	249
230	249
231	250
232	250
233	251
234	251
235	251
236	252
237	252
238	252
239	253
240	253
241	253
242	253
243	254
244	254
245	254
246	254
247	254
248	255
249	255
250	255
251	255
252	255
253	255
254	255
255	255
